index,Personnage,Réplique
0,Bohort,Jo le rigolo ???!!!
1,Bohort,Faut que j'enlève mon armure sinon y va se passer quelque chose d'atroce. J'ai pas eu le temps d'enlever mon armure...
2,Bohort,"""D'après mes derniers renseignements, il serait tout à  fait possible que le Graal ne soit ni un vase, ni une coupe, mais... un récipient."""
3,Bohort, ça vous ennuie si je vomis ?
4,Bohort, J'irai me coucher quand vous m'aurez juré qu'il n'y a pas dans cette forêt d'animal plus dangereux que le lapin adulte !
5,Bohort,"""Moi aussi, je ne me sens pas dans mon assiette, j'ai jamais beaucoup aimé les tunnels."""
6,Bohort,Vous êtes un grand malade mental !
7,Bohort,MECREAAAAAAAAANTS !
8,Bohort,"""La neige... On l'enlève, elle revient. Toujours... encore et encore... Et nous, pauvres âmes chagrines, nous perdons nos regards dans l'horizon blanc de notre solitude."""
9,Bohort,"""Fort heureusement, je tiens à  préciser que l'incident n'a fait aucune victime."""
10,Bohort,NOUS ALLONS TOUS MOURIR !
11,Bohort,"""Ah bah Ã§a va, excusez moi d'avoir paniqué... Finalement c'est pas des démons. C'est juste les pires bestioles de tout l'univers. Mettons deux gardes là devant et allons boire un coup !"""
12,Bohort,C'est une catastrophe !
13,Bohort,"""Arbre, mon ami, majestueux témoin de ma gloire abattue, entends avec moi le céleste appel !"""
14,Bohort,Balancez-leur les radasses et qu'ils s'en aillent au diable !
15,Bohort,Je suis un misérable !
16,Bohort,"""Et les petits pigeons ? Vous croyez peut-être qu'ils se nourrissent tout seuls, les petits pigeons ?"""
17,Bohort,"""En même temps, admettez que me tuer n'aurait pas beaucoup de sens ! Vos nerfs seraient soulagés dans un premier temps, je ne dis pas, mais si vous considérez la situation avec un minimum de recul, vous vous apercevrez que le transport de votre hargne sur ma personne n'est pas départi d'une certaine forme d'absurdité. Et c'est là  que j'ai envie de dire : est-ce que ça vaut bien le coup ?"""
18,Bohort,"""Eh bien puisque c'est ça, allez-y : détruisez tout ! Entretuez-vous ! Mettez la Bretagne Ã  feu et Ã  sang ! Et ne comptez plus sur moi pour vous amener mes gâteaux à  la purée de pomme dont vous êtes si friand ! Dorénavant, vous devrez vous les cuisiner vous-même ! ENTRE DEUX MISES à SAC !"""
19,Bohort,Qui veut une tartelette ?
20,Bohort,"""Moi, je suis en charge des négociations protocolaires de la surveillance intérieure de l'inspection de certains postes avancés, eh bien, voyez-vous, si on me disait : Bohort, tout ça c'est fini, à  partir de maintenant, vous vous occuperez des pâtisseries et du linge de maison, je vous assure, je n'hésiterai pas une seconde ."""
21,Bohort,Vous prenez votre arc et vous le bouffez ! EspÃ¨ce de dÃ©gÃ©nÃ©rÃ© sanguinaire !
