Personnage,Réplique
BOHORT,La hase.
PERCEVAL,Non.
LÉODAGAN,Passez la tête !
PERCEVAL,Passer la tête ? Pour me prendre une flèche dedans ? Non merci !
PERCEVAL,Si on faisait le coup du bouclier humain ?
LÉODAGAN,Quel coup ?
ARTHUR,Léodagan ! Quelles sont nos chances si on fonce ?
LÉODAGAN,Si on fonce où ça ?
LÉODAGAN,Bah nous on est trois.
ARTHUR,Mais vous êtes complètement con !
LÉODAGAN,Hé ho ! j’ai failli me la prendre !
ARTHUR,C’est pas possible de rester coincés là ! Je vais devenir dingue ! Je préfère encore foncer dans le tas ! Tans pis !
ARTHUR,La ferme !
PERCEVAL,Bougez pas !
PERCEVAL,Animaux de la forêt !
BOHORT,C’est drôlement ingénieux !
LÉODAGAN,Ouais. Ça va pas se faire tout seul.
ARTHUR,C’est proposé si gentiment…
ARTHUR,Mais ça va ! Pourquoi vous m’agressez ?
DAME SÉLI,Parce que vous regardez ça comme si c’était du purin !
ARTHUR,AH bon…
GUENIÈVRE,Elle y a passé la matinée.
DAME SÉLI,Et alors ? Faut un permis ?
LÉODAGAN,Il doit y avoir quatre-vingts larbins au château et c’est vous qui tapez la tambouille !
DAME SÉLI,Ça me détend !
DAME SÉLI,Bon ben qu’est-ce que vous attendez pour la couper ? Qu’il fasse nuit ?
DAME SÉLI,Vous dites rien !
LÉODAGAN,Faudrait pouvoir…
ARTHUR,C’est pas bon.
DAME SÉLI,Ah merci !
ARTHUR,Vous posez la question !
DAME SÉLI,Je la pose pas à vous !
GUENIÈVRE,La pâte est probablement un peu sèche…
GUENIÈVRE,On aime toujours les tartes de sa mamie !
LÉODAGAN,Quoi ?
GUENIÈVRE,Vous en faites pas…
DAME SÉLI,Ah mais je m’en fais pas ! Je vais m’entraîner jusqu’à ce que ça marche !
ARTHUR,Vous voulez dire que vous allez en refaire ?
DAME SÉLI,Tous les jours.
LÉODAGAN,Tous les jours ?
DAME SÉLI,N’exagérez pas non plus ! Je vous demande quand même pas de manger des briques !
DAME SÉLI,Attendez…
DAME SÉLI,Au cas où vous ayez un creux dans l’après-midi…
LÉODAGAN,Oui ou une fissure à colmater dans un muret…
LÉODAGAN,Je vois pas ce que c’est que cette lubie de vous faire fabriquer une table.
PERCEVAL,D’autant qu’il y en a une de douze pieds dans la salle à manger…
PERCEVAL,« Les Chevaliers de la Table Ronde » ?
LÉODAGAN,Une chance que vous vous soyez pas fait construire un buffet à vaisselle…
ARTHUR,C’est pas tellement l’ambiance.
PERCEVAL,C’est pas tant le bois qui me dérange… C’est plutôt le cuir…
KARADOC,Ça fait un peu atelier de cousette.
ARTHUR,Non mais on va pas s’en servir pour manger.
ARTHUR,C’est comme ça. On écrit pas sur cette table.
ARTHUR,C’est un peu compliqué.
BOHORT,Sire Arthur a eu une révélation de la Dame du Lac qui lui a ordonné la construction d’une table légendaire autour de laquelle il devrait réunir les Chevaliers de Bretagne pour organiser la Quête du Graal.
ARTHUR,Voilà.
LÉODAGAN,En gros.
KARADOC,C’est un peu compliqué.
BOHORT,Les Seigneurs les plus puissants de l’île.
ARTHUR,Oui et puis des Chevaliers plus modestes…
ARTHUR,Pour quoi faire ?
ARTHUR,Je comprends.
ARTHUR,Ils seront en armure et ils doivent garder leurs armes sur eux.
BRECCAN,Qu’est-ce que je pense de quoi ?
ARTHUR,Vas insigne devotionis…
LANCELOT,Quoi donc ?
LANCELOT,« Dont tout le monde parle » ? Ah non mais s’il vous plaît…
BOHORT,C’est vrai qu’on commence effectivement à beaucoup en entendre parler.
GALESSIN,Il faudrait sérieusement penser à une plus grande table.
LÉODAGAN,Mais… c’est le Chevalier de Provence ou le Chevalier gaulois ? Faudrait savoir !
GALESSIN,Ça dépend des sources mais je crois bien que c’est un Chevalier de Provence.
BOHORT,Vous êtes pas gaulois.
BOHORT,Perceval !
BOHORT,Provençal.
ARTHUR,Pas foutu de savoir son nom…
LÉODAGAN,Et on peut savoir depuis quand vous arpentez la Bretagne en racontant à tout le monde que vous vous appelez Provençal le Gaulois ?
PERCEVAL,N’empêche que tout le monde parle de moi ! C’est quand même un signe !
ARTHUR,Je voudrais bien qu’on m’explique pourquoi !
KARADOC,À cause des faits d’armes…
ARTHUR,Les faits d’armes de celui-là ? Première nouvelle !
PERCEVAL,Suffisait de demander…
PERCEVAL,N’empêche que je suis une légende.
ARTHUR,Pourquoi donc ? C’est la salle du Trône… Ce serait quand même gros que je puisse pas y entrer !
ARTHUR,C’est sûr que c’est pas Jo le Rigolo…
LÉODAGAN,Il y a pas d’herbe dans la salle du Trône.
LÉODAGAN,Quoi ? Tout l’or de Kaamelott ? Non mais vous vous foutez de moi ?
BOHORT,Peu importe ! J’ai pas envie de finir empalé au sommet d’une colline !
BOHORT,Vous serez écorché vif avant d’avoir eu le temps de lever la main ! Balançons-lui les caisses d’or et fichons le camp d’ici avant qu’il foute le feu !
ARTHUR,Personne ne s’en va.
ATTILA,Alors ?
BOHORT,Mais qu’est-ce que vous parlez d’or ? Vous voyez pas qu’on est à deux doigts de se faire pulvériser ?
ATTILA,Pourquoi pas ?
LÉODAGAN,Parce que c’est le nôtre !
BOHORT,On est cuits. Il va raser la Bretagne.
ATTILA,La moitié de l’or ! Tout de suite ! Ou tout va brûler !
ATTILA,Pourquoi pas ?
LÉODAGAN,Parce qu’il y a des frais ! Vous arrivez pas vous rentrer ça dans le crâne !
ATTILA,Alors les femmes !
LÉODAGAN,Les femmes ? Quoi les femmes ?
ATTILA,Donnez-nous les femmes !
ATTILA,Toutes les femmes !
ATTILA,La nourriture !
ATTILA,Les couverts !
ATTILA,Le linge de maison !
LÉODAGAN,Le linge de maison ?
ATTILA,Quelque chose de typique !
LÉODAGAN,Quelque chose de typique ?
ARTHUR,Quoi comme chose de typique ?
ATTILA,C’est typique ?
BOHORT,C’est le plat breton typique !
ATTILA,Victoire !
LANCELOT,Le messager est formel : ils arrivent à Kaamelott pour signer le traité de paix.
BOHORT,Excusez-moi… C’est la joie !
ARTHUR,Allez-y mollo avec la joie.
LANCELOT,Je suis désolé mais ça fait partie des conditions.
ARTHUR,Jour et nuit ?
BOHORT,Ça fait partie des conditions.
ARTHUR,Mais ne soyez pas con ! Vous croyez peut-être qu’elle veut m’assassiner ?
ARTHUR,Et si quelqu’un me donne une poignée de main ou me fait passer un morceau de pain à table ?
ARTHUR,Et ma femme ? La Reine !
ARTHUR,Des liens se créent ? Mais qu’est-ce qu’il me raconte ? Vous me filez le train depuis deux heures de l’après-midi !
ARTHUR,Vous pouvez pas sortir de la pièce une petite demi-heure ?
ARTHUR,Tenez ! Un morceau de viande ! Un morceau de viande !
GUENIÈVRE,Et si vous laissiez tomber la lecture pour un petit moment ?
GUENIÈVRE,J’ai besoin de la place parce que j’ai commandé un barde pour ce midi.
DAME SÉLI,Quoi ? Il faut bien qu’on sache ce qui se passe dans le monde !
ARTHUR,J’ai une cellule de vingt-cinq espions qui me font deux rapports par semaine !
ARTHUR,Il manquerait plus que ça !
DAME SÉLI,Mais qui vous demande de vous occuper des paroles ?
GUENIÈVRE,C’est le fond sonore qui est agréable.
BUZIT,Où ça ?
ARTHUR,Comment « où ça ? »
LÉODAGAN,Vous dites qu’il y a un mec qu’est tombé dans le bois !
BUZIT,Vous aviez pris une heure ou une demi-heure ?
LÉODAGAN,Encore une chance !
BUZIT,Bon ben un dernier et je prends mon repas chaud.
ARTHUR,De quoi ? Qu’est-ce que vous avez dit ?
BUZIT,Après quoi ?
LÉODAGAN,Mais vous avez parlé de funérailles !
LÉODAGAN,Je vous garantis que la mémoire va vous revenir !
BUZIT,« Quand chanta pour funérailles…»
ARTHUR,Du Roi Loth ?
ARTHUR,Je vois pas l’intérêt de dire que le Roi Loth est mort s’il est pas mort.
BUZIT,… eh ben je vous raconte pas ce qui tombe !
ARTHUR,Bah… (à Kay) Qu’est ce qui vous prend ? J’ai rien dit encore !
KAY,Je suis désolé mais il faut bien que je la teste…
LANCELOT,Drapeau noir.
LANCELOT,Drapeau rouge deux fois.
LANCELOT,Je relance ou je relance pas ?
LANCELOT,Appel.
LANCELOT,Drapeau noir.
LANCELOT,Drapeau rouge.
LANCELOT,Drapeaux en « V ».
LÉODAGAN,C’est quand même magnifique une armée bien coordonnée.
LANCELOT,Ils ont du mal avec le code…
LÉODAGAN,Ils ont du mal avec tout !
KAY,Peut-être qu’il aurait fallu moins de signes différents et plus de couleurs.
ARTHUR,Vous vous rendez compte qu’on était deux fois plus nombreux qu’eux et qu’on va quand même perdre parce que ces débiles sont même pas foutus de retenir trois signes de code ?
LANCELOT,On n’a pas encore perdu…
LÉODAGAN,Bon Dieu mais c’est pas vrai ! Ils regardent pas vers ici !
LANCELOT,On double l’appel !
LÉODAGAN,Non mais ils se foutent de nous ou quoi ?
LANCELOT,On triple l’appel ?
ARTHUR,Ho ! Là !
ARTHUR,Là ! (il sonne) Là ! (il sonne) Là ! (il sonne et re-sonne) Làààààààààà ! (il sonne de façon musicale) Sortez-vous les doigts du cul !
ARTHUR,Hein ?
ARTHUR,Ils écoutent pas quand on sonne.
LÉODAGAN,Peut-être mais n’empêche qu’ils se tirent !
LÉODAGAN,Quoi ? Dites pas de conneries…
LANCELOT,Vous pouvez pas faire ça…
LANCELOT,Il va falloir qu’on trouve un code plus simple.
KAY,C’est pas le code qui va pas…
LANCELOT,Je sais pas ce qui va pas mais il va falloir que ça aille !
LÉODAGAN,C’est sûr que les hommes vont pas pouvoir se prendre une dérouillée par semaine comme ça pendant longtemps…
ARTHUR,Heu… Je sais plus quel jour c’est.
ARTHUR,Mais on se bat pas là ! C’est juste deux-trois passes histoire de se dégourdir…
ARTHUR,Non mais vous êtes dingue ! Vous pourriez prévenir !
ARTHUR,En attendant vous êtes pas mon ennemi et vous avez failli me couper un bras !
ARTHUR,Parce que vous m’emmerdez avec vos conneries !
ARTHUR,Je parle pas de ça ! Je parle de vos provocations à deux ronds ! J’en ai marre !
ARTHUR,Je sais oui. Vous avez pas dit que ça devait être faux !
ARTHUR,Quoi ?
ARTHUR,Quelle grange ?
GUENIÈVRE,Qu’est-ce qu’il dit ?
ARTHUR,Rien. C’est rien. On fait semblant pour se stimuler.
GUENIÈVRE,C’est aujourd’hui que vous partez repousser les barbares ?
GUENIÈVRE,J’aime bien quand vous partez aux combats. Vous êtes toujours joyeux !
ARTHUR,Je connais deux trois barbares qui feraient bien de s’échauffer !
LÉODAGAN,Et vous ?
ARTHUR,Comment ça se fait que vous êtes pas en armure ?
LÉODAGAN,Qu’est-ce qui est fini ?
PERCEVAL,Je croyais que c’était pour ça que vous étiez contents…
ARTHUR,Qu’est-ce que c’est que cette histoire de solution diplomatique ?
PERCEVAL,On a eu chaud !
BOHORT,Il y a plus qu’à recevoir leur Chef.
ARTHUR,Recevoir leur Chef pour quoi faire ?
BOHORT,Pour signer le traité !
ARTHUR,Le traité de quoi ?
BOHORT,Ben comme quoi on leur cède les marais !
BOHORT,On n’est pas venu vous faire un rapport ?
ARTHUR,Ah non !
LÉODAGAN,Comment « en échange » ?
ARTHUR,Vous… Vous leur avez quand même pas refilé des terres ?
BOHORT,Ah mais je les ai pas vendues !… puisque je les ai cédées…
LÉODAGAN,Mais cédées pour combien ?
BOHORT,Mais pour rien ! Contre nos vies !
BOHORT,Je suis vraiment confus ! J’avais pas pensé que Kaamelott était encerclé par les marais…
PERCEVAL,C’est vrai que dans l’urgence du truc…
PERCEVAL,Peut-être qu’ils vont juste y mettre des petits cabanons !
LANCELOT,Sire ! Les barbares ont avancé des catapultes jusqu’aux bords des marais. On est encerclés !
LÉODAGAN,Tiens donc !
ARTHUR,Vous êtes fier de vous ?
BOHORT,On en profitera juste pour récupérer nos marais…
GUENIÈVRE,Mais… On les avait perdus quand ?
ARTHUR,Ce matin.
GUENIÈVRE,Et quand est-ce qu’on les a récupérés ?
ARTHUR,Cet après-midi.
ARTHUR,Il y a un paquet de trucs qui vont trop vite pour vous…
YVAIN,J’ai pas faim.
DAME SÉLI,Vous mangez !
YVAIN,Je fais pas la gueule.
ARTHUR,Qu’est-ce que ça doit être !
GUENIÈVRE,Fichez-lui la paix.
ARTHUR,Et pourquoi il y est pas allé ?
GUENIÈVRE,Il peut bien aller de temps en temps chez son copain…
GUENIÈVRE,Dites tout de suite qu’on est des poids !
ARTHUR,« Une fois de temps en temps » ? Eh ben vous manquez pas d’air !
