Personnage,AELIS,ANGHARAD,ARTHUR,ATTILA,AZILIZ,AZÉNOR,BELT,BERLEWEN,BOHORT,BONIFACE,BRECCAN,BUZIT,CAIUS,CALOGRENANT,CRYDA,DAGONET,DEMETRA,FEARMAC,GALESSIN,GAUVAIN,GOUSTAN,GUENIÈVRE,GUETHENOC,HAGOP,HERVEIG,JACCA,KADOC,KARADOC,KAY,KETCHATAR,LANCELOT,LETAVERNIER,LOTH,LÉODAGAN,MADENN,MERLIN,MEVANWI,NARSÈS,PENDRAGON,PERCEVAL,ROBYN,ROPARZH,SÉFRIANE,SÉLI,TEGEIRIAN,TORRI,TUMET,URGAN,VENEC,YGERNE,YVAIN,ÉLIAS
AELIS,1.0,0.65243936,0.60922277,0.5354061,0.65574884,0.67561907,0.6362189,0.47690582,0.5297616,0.63528967,0.57356,0.6278126,0.63155425,0.5975121,0.57805026,0.61474645,0.69199204,0.6007668,0.5734676,0.5136503,0.57404935,0.63975,0.65480316,0.49517313,0.6736365,0.5843936,0.6269705,0.38509628,0.6200804,0.5606513,0.5110116,0.44600612,0.5785657,0.58732766,0.5727488,0.606997,0.58697367,0.623811,0.6407269,0.6006954,0.6247893,0.63459826,0.65750456,0.6602807,0.62558484,0.6244993,0.6009356,0.46958995,0.5438341,0.6164489,0.5608369,0.477354
ANGHARAD,0.65243936,1.0000001,0.64340854,0.51841486,0.6433245,0.71314764,0.63980055,0.5138552,0.55406404,0.6692567,0.62729675,0.60148895,0.65139204,0.60652095,0.65675676,0.6075195,0.6935818,0.694784,0.6103205,0.4532221,0.59786344,0.63989246,0.59164405,0.47445238,0.67055976,0.5829179,0.6661093,0.5113709,0.593898,0.56424224,0.5576828,0.40704963,0.6633438,0.64433336,0.59663695,0.6246752,0.6461687,0.58258164,0.6749484,0.5568068,0.61624163,0.64053845,0.67755324,0.6941675,0.62198055,0.6155163,0.6176996,0.49687505,0.54500145,0.6762371,0.56898284,0.53110576
ARTHUR,0.60922277,0.64340854,1.0000002,0.4771117,0.650066,0.6661475,0.5778856,0.4807917,0.5127978,0.5908821,0.5942534,0.6060578,0.5912113,0.625035,0.6110928,0.593758,0.65352184,0.5974916,0.6046705,0.47740698,0.57264113,0.66847444,0.54601717,0.44125748,0.64495146,0.5432766,0.5778251,0.44846365,0.5516769,0.57775664,0.49936205,0.48933017,0.6364288,0.675563,0.56863874,0.5595473,0.53585225,0.6609312,0.5989405,0.59624434,0.59061635,0.5607939,0.7192043,0.59923905,0.55372965,0.61593616,0.5543886,0.43815005,0.49061587,0.60527194,0.6070922,0.52779186
ATTILA,0.5354061,0.51841486,0.4771117,1.0000001,0.54749,0.5031308,0.51157236,0.5071226,0.6573089,0.5378098,0.59382844,0.5979682,0.51872325,0.5449765,0.6631192,0.50033617,0.4650787,0.5606754,0.5957782,0.48503342,0.64911973,0.6014255,0.5785964,0.58155155,0.50303817,0.5360842,0.68648213,0.535537,0.6194571,0.47377124,0.5871316,0.42084694,0.5047002,0.5811732,0.5615573,0.6082383,0.49804282,0.46947917,0.5489663,0.53749114,0.65869,0.5311195,0.60992754,0.55998147,0.63499606,0.5966633,0.5581188,0.52658117,0.4409209,0.64722633,0.6175258,0.6300391
AZILIZ,0.65574884,0.6433245,0.650066,0.54749,1.0000004,0.58976513,0.61786795,0.51141524,0.52194005,0.5913408,0.5930948,0.52426577,0.64385474,0.6615943,0.556528,0.56461394,0.71263397,0.6197815,0.5525625,0.4595846,0.53865916,0.6839905,0.5867363,0.4735731,0.61751044,0.4848923,0.58869386,0.36752525,0.5882355,0.55105376,0.49580258,0.3639721,0.5954282,0.6446395,0.5621755,0.54295665,0.58725226,0.66418433,0.659402,0.5367427,0.59034806,0.5810305,0.6131187,0.6764895,0.57941747,0.5480906,0.6686566,0.47139674,0.46164644,0.58643246,0.57085645,0.49197525
AZÉNOR,0.67561907,0.71314764,0.6661475,0.5031308,0.58976513,0.99999994,0.6556071,0.45403492,0.53901273,0.6190779,0.5998201,0.6039921,0.64614826,0.6186509,0.6327829,0.5765034,0.6886467,0.62356114,0.58391607,0.5130745,0.6334741,0.63854986,0.604534,0.47130305,0.66855776,0.6584568,0.62951267,0.5766773,0.590745,0.52842945,0.5537021,0.45721602,0.6302266,0.56829697,0.569344,0.573223,0.6201329,0.5922456,0.6033561,0.661798,0.58810055,0.67040503,0.66672957,0.61956537,0.6407382,0.6318517,0.5824442,0.55616766,0.50452626,0.64674616,0.6346857,0.5316647
BELT,0.6362189,0.63980055,0.5778856,0.51157236,0.61786795,0.6556071,0.9999999,0.432989,0.58159244,0.6043184,0.585847,0.5961817,0.6456137,0.6484213,0.63786507,0.639145,0.6715673,0.61013186,0.6053015,0.5688555,0.6669284,0.63103306,0.57958424,0.52048004,0.6080603,0.63474953,0.6407533,0.44532952,0.6136388,0.5703782,0.55346584,0.48549378,0.56853557,0.61575496,0.59049726,0.58117616,0.57940555,0.54388577,0.5620831,0.6464027,0.6783276,0.6617063,0.64398944,0.63563716,0.5556671,0.6532473,0.5725864,0.4822464,0.5651283,0.6151194,0.6316366,0.5414126
BERLEWEN,0.47690582,0.5138552,0.4807917,0.5071226,0.51141524,0.45403492,0.432989,0.99999994,0.5107692,0.49553192,0.5899048,0.5137484,0.5474371,0.49344283,0.52328914,0.48956355,0.49387398,0.48000234,0.4961617,0.4323333,0.5362152,0.48361325,0.52792966,0.47420347,0.4948097,0.47524846,0.5071837,0.41471842,0.5421673,0.56577337,0.46995264,0.52295256,0.5500519,0.48646134,0.5460893,0.5361084,0.4627776,0.43756807,0.45220667,0.5325457,0.5282193,0.51309,0.5572922,0.48216105,0.47777528,0.5890295,0.52618,0.5418241,0.43387604,0.5199594,0.53024614,0.46490246
BOHORT,0.5297616,0.55406404,0.5127978,0.6573089,0.52194005,0.53901273,0.58159244,0.5107692,1.0,0.55260706,0.626932,0.5762493,0.54667175,0.54339874,0.6670208,0.530488,0.55027163,0.52989507,0.6743356,0.4563017,0.66218203,0.52420056,0.60952765,0.6220952,0.53736484,0.5867089,0.64542276,0.5951853,0.6263354,0.5881495,0.6915276,0.48439837,0.5139319,0.5306907,0.5738919,0.66023266,0.60575557,0.49720454,0.50310695,0.56407,0.58785987,0.60410523,0.63575184,0.5099031,0.58496314,0.6356264,0.58732796,0.5505322,0.5160219,0.5979501,0.59377986,0.6001004
BONIFACE,0.63528967,0.6692567,0.5908821,0.5378098,0.5913408,0.6190779,0.6043184,0.49553192,0.55260706,1.0,0.5767561,0.5995221,0.630695,0.6709089,0.6282362,0.5618563,0.6639652,0.61680555,0.628641,0.460021,0.57526004,0.6158825,0.5659832,0.49979234,0.64730704,0.6164679,0.6732235,0.49957633,0.6145979,0.57586014,0.58725166,0.40800932,0.5482788,0.6264113,0.6343256,0.64198625,0.65360904,0.63097894,0.6652952,0.55907214,0.5942045,0.68193793,0.6782327,0.6777642,0.635875,0.593517,0.6073544,0.47947782,0.56599796,0.6330074,0.6195055,0.5149283
